City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kapaa,40,US,1584236519,57,22.08,-159.32,80.6,14.99
puerto ayora,4,EC,1584236432,64,-0.74,-90.35,82.0,5.99
norman wells,90,CA,1584236565,85,65.28,-126.83,23.0,2.24
atuona,28,PF,1584236585,67,-9.8,-139.03,82.47,8.03
arraial do cabo,16,BR,1584236432,88,-22.97,-42.03,78.28,12.3
pisco,40,PE,1584236610,83,-13.7,-76.22,73.99,18.34
chuy,100,UY,1584236427,92,-33.7,-53.46,68.94,12.41
tasiilaq,2,GL,1584236465,77,65.61,-37.64,-0.4,1.12
salta,75,AR,1584236460,78,-24.79,-65.41,77.0,2.37
barrow,20,US,1584236467,70,71.29,-156.79,1.4,21.92
tiksi,54,RU,1584236456,73,71.69,128.87,-10.35,6.08
cherskiy,100,RU,1584236610,93,68.75,161.3,7.27,5.21
hermanus,100,ZA,1584236419,96,-34.42,19.23,64.0,1.01
ishigaki,0,JP,1584236610,51,24.34,124.16,62.6,16.11
kahului,75,US,1584236369,74,20.89,-156.47,78.8,13.87
mount gambier,90,AU,1584236611,55,-37.83,140.77,62.6,12.75
poum,100,NC,1584236611,79,-20.23,164.02,84.09,52.48
khatanga,100,RU,1584236469,96,71.97,102.5,27.61,13.22
moron,75,AR,1584236611,93,-34.65,-58.62,69.8,3.36
vila velha,20,BR,1584236370,94,-20.33,-40.29,75.99,2.24
berlevag,100,NO,1584236611,85,70.86,29.09,21.63,26.82
vaini,100,TO,1584236611,80,-21.2,-175.2,82.76,14.7
kavaratti,54,IN,1584236612,72,10.57,72.64,81.99,8.97
bluff,100,NZ,1584236612,67,-46.6,168.33,66.99,1.99
tecpan,20,GT,1584236612,60,14.76,-90.99,71.6,11.41
san borja,100,BO,1584236612,83,-14.82,-66.85,77.22,1.81
tottori,40,JP,1584236612,57,35.5,134.23,48.2,12.75
kapit,97,MY,1584236612,64,2.02,112.93,85.24,3.44
saint-augustin,1,CA,1584236612,82,51.23,-58.65,16.57,13.87
chumikan,0,RU,1584236613,73,54.72,135.31,14.14,14.07
gat,20,IL,1584236403,93,31.61,34.76,57.2,4.7
linjiang,100,CN,1584236542,61,41.81,126.91,23.23,13.38
albany,1,US,1584236596,77,42.6,-73.97,39.99,8.05
kumluca,98,TR,1584236613,87,36.37,30.29,53.89,3.09
bathsheba,75,BB,1584236613,78,13.22,-59.52,77.0,11.41
ushuaia,75,AR,1584236613,54,-54.8,-68.3,55.4,13.87
castro,0,BR,1584236613,92,-24.79,-50.01,61.39,4.52
busselton,28,AU,1584236418,97,-33.65,115.33,75.0,16.26
kodiak,90,US,1584236492,51,57.79,-152.41,39.2,3.36
saskylakh,100,RU,1584236614,92,71.92,114.08,5.95,12.01
hamilton,90,US,1584236614,93,39.18,-84.53,36.0,17.22
mehamn,100,NO,1584236485,91,71.04,27.85,15.51,13.96
henties bay,0,NA,1584236463,93,-22.12,14.28,62.01,2.98
da nang,75,VN,1584236614,83,16.07,108.22,78.8,3.36
anadyr,40,RU,1584236442,92,64.75,177.48,23.0,24.61
xiongzhou,0,CN,1584236615,48,25.12,114.3,62.67,5.32
sur,99,OM,1584236572,34,22.57,59.53,68.09,7.65
aurangabad,20,IN,1584236615,36,19.88,75.33,64.4,8.5
navrongo,94,GH,1584236615,54,10.9,-1.09,81.23,1.57
ribeira grande,26,PT,1584236615,84,38.52,-28.7,55.63,4.79
rikitea,3,PF,1584236615,70,-23.12,-134.97,79.07,9.08
bayonet point,40,US,1584236616,83,28.33,-82.68,75.99,5.82
winnemucca,75,US,1584236616,45,40.97,-117.74,48.2,11.41
port alfred,62,ZA,1584236616,86,-33.59,26.89,68.0,5.01
saint-philippe,48,RE,1584236616,73,-21.36,55.77,75.2,8.05
matara,18,LK,1584236616,65,5.95,80.54,82.18,6.22
bethel,75,US,1584236435,45,41.37,-73.41,48.2,5.82
esperance,100,AU,1584236616,64,-33.87,121.9,69.8,21.92
buala,78,SB,1584236616,78,-8.14,159.59,83.19,10.31
hilo,90,US,1584236358,74,19.73,-155.09,78.8,8.05
saldanha,13,ZA,1584236617,83,-33.01,17.94,63.28,23.96
deputatskiy,0,RU,1584236459,90,69.3,139.9,-24.05,2.39
vestmannaeyjar,0,IS,1584236490,66,63.44,-20.27,26.46,17.45
avarua,8,CK,1584236473,70,-21.21,-159.78,84.2,6.93
hithadhoo,74,MV,1584236617,63,-0.6,73.08,83.25,5.37
new norfolk,75,AU,1584236617,62,-42.78,147.06,63.0,13.87
ketchikan,1,US,1584236618,41,55.34,-131.65,42.8,17.22
mao,0,ES,1584236618,87,39.89,4.27,51.8,2.24
puerto escondido,75,MX,1584236553,78,15.85,-97.07,82.4,3.36
qaanaaq,34,GL,1584236459,58,77.48,-69.36,-20.22,6.4
nome,100,US,1584236618,98,64.5,-165.41,31.26,9.31
ondjiva,100,AO,1584236618,81,-17.07,15.73,69.93,4.32
yellowknife,90,CA,1584236618,66,62.46,-114.35,10.4,10.29
amga,100,RU,1584236445,89,60.9,131.96,-0.58,4.63
mataura,100,NZ,1584236437,67,-46.19,168.86,66.99,1.99
bredasdorp,100,ZA,1584236406,88,-34.53,20.04,64.4,3.36
ushtobe,0,KZ,1584236619,40,45.25,77.98,48.72,6.85
mnogovershinnyy,6,RU,1584236613,65,53.94,139.92,8.38,4.76
isangel,11,VU,1584236457,76,-19.55,169.27,84.83,26.8
mar del plata,75,AR,1584236619,82,-38.0,-57.56,64.99,3.36
soyo,100,AO,1584236472,88,-6.13,12.37,79.27,3.87
daru,1,PG,1584236619,57,-9.08,143.21,89.83,6.4
shingu,40,JP,1584236619,50,33.73,135.98,48.2,8.05
cape town,40,ZA,1584236402,77,-33.93,18.42,64.99,18.34
taitung,75,TW,1584236620,77,22.76,121.14,60.8,6.93
saint-gaudens,0,FR,1584236620,93,43.08,0.67,42.01,1.12
baherden,100,TM,1584236620,27,38.44,57.43,68.25,11.77
nishihara,0,JP,1584236447,48,26.18,127.76,62.6,18.34
tessalit,2,ML,1584236620,13,20.2,1.01,72.0,12.24
barra patuca,1,HN,1584236620,78,15.8,-84.28,80.11,13.94
cabo san lucas,40,MX,1584236402,53,22.89,-109.91,73.4,11.41
phibun mangsahan,20,TH,1584236621,74,15.24,105.23,90.0,6.93
jamestown,90,US,1584236407,86,42.1,-79.24,35.6,8.05
nanortalik,100,GL,1584236621,89,60.14,-45.24,21.56,8.32
severo-kurilsk,100,RU,1584236621,80,50.68,156.12,21.76,9.4
dakar,20,SN,1584236621,94,14.69,-17.44,71.6,4.7
